Date,Content,User,Sentiment,Month
2024-07-26,had a fake wedding for content and cried real tears 😭,user_fakeweddings_79,-0.15,2024-07
2024-04-03,fake wedding but real drama!,user_fakeweddings_80,-0.125,2024-04
2024-04-12,this shoot felt too real 😳,user_fakeweddings_81,0.2,2024-04
2025-01-31,would you attend a fake wedding for the aesthetic?,user_fakeweddings_82,-0.5,2025-01
2024-01-01,had a fake wedding for content and cried real tears 😭,user_fakeweddings_83,-0.15,2024-01
2022-09-11,had a fake wedding for content and cried real tears 😭,user_fakeweddings_84,-0.15,2022-09
2022-02-17,this shoot felt too real 😳,user_fakeweddings_85,0.2,2022-02
2023-05-30,would you attend a fake wedding for the aesthetic?,user_fakeweddings_86,-0.5,2023-05
2023-02-21,had a fake wedding for content and cried real tears 😭,user_fakeweddings_87,-0.15,2023-02
2022-06-07,this shoot felt too real 😳,user_fakeweddings_88,0.2,2022-06
2022-02-21,would you attend a fake wedding for the aesthetic?,user_fakeweddings_89,-0.5,2022-02
2023-06-09,would you attend a fake wedding for the aesthetic?,user_fakeweddings_90,-0.5,2023-06
2023-05-31,had a fake wedding for content and cried real tears 😭,user_fakeweddings_91,-0.15,2023-05
2023-06-01,fake wedding but real drama!,user_fakeweddings_92,-0.125,2023-06
2024-08-01,this shoot felt too real 😳,user_fakeweddings_93,0.2,2024-08
2022-12-21,fake wedding but real drama!,user_fakeweddings_94,-0.125,2022-12
2023-01-07,would you attend a fake wedding for the aesthetic?,user_fakeweddings_95,-0.5,2023-01
2022-06-08,this shoot felt too real 😳,user_fakeweddings_96,0.2,2022-06
2022-06-15,would you attend a fake wedding for the aesthetic?,user_fakeweddings_97,-0.5,2022-06
2022-04-30,would you attend a fake wedding for the aesthetic?,user_fakeweddings_98,-0.5,2022-04
2024-03-26,this shoot felt too real 😳,user_fakeweddings_99,0.2,2024-03
